brand,car_model,segment,drivetrain,seats,top_speed_kmh,acceleration_0_100_s,torque_nm,torque_nm_mapped,power_to_weight_ratio,power_to_weight_category,battery_capacity_kWh,number_of_cells,battery_type,efficiency_wh_per_km,efficiency,fast_charging_power_kw_dc,fast_charge_port,range_km,towing_capacity_kg,cargo_volume_l,length_mm,width_mm,height_mm,car_body_type,manufacturing_country
Toyota,Proace City Verso Electric L2 50 kWh,N - Passenger Van,FWD,7,132,11.7,260.0,191.76612,0.3076923076923077,Medium,50.0,216.0,Lithium-ion,149,4.32,80.0,CCS,230.0,750.0,1050.0,4753,1921,1814,Small Passenger Van,Japan
Fiat,Grande Panda,B - Compact,FWD,5,132,11.0,122.0,89.98256400000001,0.4918032786885246,Medium,43.8,108.0,Lithium-ion,136,2.4657534246575343,60.0,CCS,260.0,550.0,361.0,3999,1763,1570,Hatchback,Italy
Peugeot,e-Rifter XL 50 kWh,N - Passenger Van,FWD,7,132,11.7,270.0,199.14174000000003,0.2962962962962963,Medium,50.0,102.0,Lithium-ion,153,2.04,80.0,CCS,230.0,750.0,1050.0,4755,1921,1837,Small Passenger Van,France
Opel,Combo-e Life XL 50 kWh,N - Passenger Van,FWD,7,135,11.3,260.0,191.76612,0.3076923076923077,Medium,50.0,159.0,Lithium-ion,149,3.18,80.0,CCS,230.0,750.0,1050.0,4760,1921,1818,Small Passenger Van,Germany
Fiat,500e Cabrio 24 kWh,B - Compact,FWD,4,135,9.0,220.0,162.26364,0.1818181818181818,Low,21.3,108.0,Lithium-ion,112,5.070422535211267,40.0,CCS,135.0,550.0,185.0,3631,1683,1529,Cabriolet,Italy
Opel,Combo-e Life 50 kWh,N - Passenger Van,FWD,5,135,11.3,260.0,191.76612,0.3076923076923077,Medium,50.0,159.0,Lithium-ion,149,3.18,80.0,CCS,235.0,750.0,775.0,4410,1921,1812,Small Passenger Van,Germany
Fiat,500e 3+1 24 kWh,B - Compact,FWD,4,135,9.0,220.0,162.26364,0.1818181818181818,Low,21.3,108.0,Lithium-ion,112,5.070422535211267,40.0,CCS,135.0,550.0,185.0,3631,1683,1529,Hatchback,Italy
Fiat,500e Hatchback 24 kWh,B - Compact,FWD,4,135,9.0,220.0,162.26364,0.1818181818181818,Low,21.3,108.0,Lithium-ion,112,5.070422535211267,40.0,CCS,135.0,550.0,185.0,3631,1683,1529,Hatchback,Italy
Citroen,e-C3,B - Compact,FWD,5,135,11.5,120.0,88.50744,0.5,Medium,44.0,216.0,Lithium-ion,135,4.909090909090909,60.0,CCS,255.0,550.0,310.0,4015,1755,1577,Hatchback,France
Renault,Kangoo E-Tech Electric,N - Passenger Van,FWD,5,135,12.6,245.0,180.70269,0.2040816326530612,Low,45.0,184.0,Lithium-ion,158,4.088888888888889,50.0,CCS,225.0,1500.0,950.0,4486,1860,1838,Small Passenger Van,France
Dongfeng,Box 31.4 kWh,B - Compact,FWD,5,140,12.5,160.0,118.00992,0.3125,Medium,29.0,216.0,Lithium-ion,126,7.448275862068965,50.0,CCS,190.0,1500.0,326.0,4020,1810,1570,Hatchback,China
Dongfeng,Box 42.3 kWh,B - Compact,FWD,5,140,12.5,160.0,118.00992,0.31875,Medium,40.0,216.0,Lithium-ion,129,5.4,51.0,CCS,255.0,1500.0,326.0,4020,1810,1570,Hatchback,China
Mercedes-Benz,EQV 300 Extra-Long,N - Passenger Van,FWD,7,140,12.2,365.0,269.21013,0.2630136986301369,Medium,90.0,288.0,Lithium-ion,249,3.2,96.0,CCS,315.0,1500.0,1410.0,5370,1928,1901,Small Passenger Van,Germany
Opel,Frontera 44 kWh,JB - Compact,FWD,5,140,12.1,120.0,88.50744,0.5,Medium,44.0,159.0,Lithium-ion,144,3.613636363636364,60.0,CCS,245.0,350.0,460.0,4385,1795,1635,SUV,Germany
Hyundai,INSTER Standard Range,JA - Mini,FWD,4,140,11.7,147.0,108.421614,0.4081632653061224,Medium,39.0,384.0,Lithium-ion,119,9.846153846153848,60.0,CCS,255.0,750.0,280.0,3825,1610,1575,SUV,Korea
Volkswagen,ID. Buzz NWB Pure,N - Passenger Van,RWD,6,145,10.7,310.0,228.64422,0.3548387096774194,Medium,59.0,216.0,Lithium-ion,178,3.6610169491525424,110.0,CCS,275.0,1000.0,1121.0,4712,1985,1927,Small Passenger Van,Germany
Ford,e-Tourneo Courier,N - Passenger Van,FWD,5,145,11.0,290.0,213.89298,0.2758620689655172,Medium,43.6,332.0,Lithium-ion,164,7.614678899082569,80.0,CCS,200.0,750.0,470.0,4337,1876,1817,Small Passenger Van,USA
Citroen,e-C3 Aircross,JB - Compact,FWD,5,145,12.9,125.0,92.19525,0.48,Medium,44.0,216.0,Lithium-ion,144,4.909090909090909,60.0,CCS,240.0,350.0,460.0,4395,1795,1660,SUV,France
Citroen,e-C4 54 kWh,C - Medium,FWD,5,150,9.1,260.0,191.76612,0.3,Medium,50.8,102.0,Lithium-ion,122,2.0078740157480315,78.0,CCS,325.0,350.0,380.0,4360,1834,1525,Hatchback,France
Fiat,500e Cabrio 42 kWh,B - Compact,FWD,4,150,9.0,220.0,162.26364,0.3045454545454545,Medium,37.3,192.0,Lithium-ion,125,5.14745308310992,67.0,CCS,230.0,550.0,185.0,3631,1683,1529,Cabriolet,Italy
Citroen,e-C4 X,C - Medium,FWD,5,150,9.9,260.0,191.76612,0.3,Medium,46.3,216.0,Lithium-ion,132,4.665226781857451,78.0,CCS,290.0,350.0,510.0,4600,1834,1525,Sedan,France
Fiat,500e 3+1 42 kWh,B - Compact,FWD,4,150,9.0,220.0,162.26364,0.3045454545454545,Medium,37.3,192.0,Lithium-ion,122,5.14745308310992,67.0,CCS,235.0,550.0,185.0,3631,1683,1529,Hatchback,Italy
BYD,DOLPHIN SURF 43.2 kWh Comfort,B - Compact,FWD,4,150,9.1,220.0,162.26364,0.2727272727272727,Medium,43.2,90.0,Lithium-ion,139,2.083333333333333,60.0,CCS,265.0,750.0,308.0,3990,1720,1590,Hatchback,China
Citroen,e-C4 X 54 kWh,C - Medium,FWD,5,150,9.1,260.0,191.76612,0.3,Medium,50.8,102.0,Lithium-ion,119,2.0078740157480315,78.0,CCS,335.0,350.0,510.0,4600,1834,1525,Sedan,France
DS,3 E-Tense,JB - Compact,FWD,5,150,9.0,260.0,191.76612,0.3269230769230769,Medium,50.8,102.0,Lithium-ion,128,2.0078740157480315,85.0,CCS,300.0,1400.0,350.0,4118,1802,1534,SUV,France
BYD,DOLPHIN 44.9 kWh Active,C - Medium,FWD,5,150,12.3,180.0,132.76116000000002,0.2777777777777778,Medium,44.9,104.0,Lithium-ion,132,2.316258351893096,50.0,CCS,265.0,750.0,345.0,4290,1770,1570,Hatchback,China
Elaris,BEO 86 kWh,JD - Large,FWD,5,150,9.5,320.0,236.01984,0.203125,Low,81.0,216.0,Lithium-ion,203,2.6666666666666665,65.0,CCS,390.0,1500.0,467.0,4698,1908,1696,SUV,Germany
BYD,DOLPHIN SURF 30 kWh Active,B - Compact,FWD,4,150,11.1,175.0,129.07335,0.2571428571428571,Medium,30.0,94.0,Lithium-ion,136,3.1333333333333333,45.0,CCS,190.0,750.0,308.0,3990,1720,1590,Hatchback,China
BYD,DOLPHIN SURF 43.2 kWh Boost,B - Compact,FWD,4,150,12.1,175.0,129.07335,0.3428571428571428,Medium,43.2,90.0,Lithium-ion,134,2.083333333333333,60.0,CCS,270.0,750.0,308.0,3990,1720,1590,Hatchback,China
Firefly,Subcompact car (B),B - Compact,RWD,5,150,8.1,200.0,147.5124,0.325,Medium,41.2,112.0,Lithium-ion,125,2.7184466019417477,65.0,CCS,250.0,1500.0,404.0,4003,1885,1557,Hatchback,China
Fiat,600e,JB - Compact,FWD,5,150,9.0,260.0,191.76612,0.3038461538461538,Medium,50.8,102.0,Lithium-ion,124,2.0078740157480315,79.0,CCS,310.0,550.0,360.0,4171,1781,1523,SUV,Italy
Aiways,U5,JC - Medium,FWD,5,150,7.5,310.0,228.64422,0.2516129032258064,Medium,60.0,216.0,Lithium-ion,156,3.6,78.0,CCS,315.0,1500.0,496.0,4680,1865,1700,SUV,China
Alfa,Romeo Junior Elettrica 54 kWh,JB - Compact,FWD,5,150,9.0,260.0,191.76612,0.3269230769230769,Medium,50.8,102.0,Lithium-ion,128,2.0078740157480315,85.0,CCS,320.0,1500.0,400.0,4173,1781,1532,SUV,Italy
Skywell,BE11 Standard Range,JD - Large,FWD,5,150,9.6,320.0,236.01984,0.15625,Low,68.0,216.0,Lithium-ion,149,3.176470588235294,50.0,CCS,330.0,1500.0,467.0,4720,1908,1696,SUV,China
Skywell,BE11 Long Range,JD - Large,FWD,5,150,9.6,320.0,236.01984,0.15625,Low,81.0,216.0,Lithium-ion,166,2.6666666666666665,50.0,CCS,390.0,1500.0,467.0,4720,1908,1696,SUV,China
Renault,Scenic E-Tech EV60 170hp,JC - Medium,FWD,5,150,8.6,280.0,206.51736,0.2678571428571428,Medium,60.0,192.0,Lithium-ion,144,3.2,75.0,CCS,340.0,1100.0,545.0,4470,1864,1571,SUV,France
Renault,Megane E-Tech EV60 130hp (TU2025),C - Medium,FWD,5,150,10.5,250.0,184.3905,0.352,Medium,60.0,288.0,Lithium-ion,125,4.8,88.0,CCS,380.0,500.0,440.0,4200,1860,1505,Hatchback,France
Renault,5 E-Tech 52kWh 150hp,B - Compact,FWD,5,150,8.0,245.0,180.70269,0.2857142857142857,Medium,52.0,184.0,Lithium-ion,129,3.5384615384615383,70.0,CCS,320.0,500.0,326.0,3922,1808,1489,Hatchback,France
Renault,5 E-Tech 40kWh 120hp,B - Compact,FWD,5,150,9.0,225.0,165.95145000000002,0.2444444444444444,Low,40.0,93.0,Lithium-ion,132,2.325,55.0,CCS,250.0,500.0,326.0,3922,1808,1489,Hatchback,France
Renault,4 E-Tech 52kWh 150hp,JB - Compact,FWD,5,150,8.2,245.0,180.70269,0.2857142857142857,Medium,52.0,184.0,Lithium-ion,127,3.5384615384615383,70.0,CCS,315.0,750.0,420.0,4143,1796,1552,SUV,France
Renault,4 E-Tech 40kWh 120hp,JB - Compact,FWD,5,150,9.2,225.0,165.95145000000002,0.2444444444444444,Low,40.0,93.0,Lithium-ion,124,2.325,55.0,CCS,245.0,750.0,420.0,4143,1796,1552,SUV,France
Peugeot,e-308 SW,C - Medium,FWD,5,150,10.0,260.0,191.76612,0.3076923076923077,Medium,50.8,102.0,Lithium-ion,127,2.0078740157480315,80.0,CCS,300.0,1200.0,608.0,4636,1852,1442,Station/Estate,France
Peugeot,e-208 51 kWh,B - Compact,FWD,5,150,8.2,260.0,191.76612,0.3076923076923077,Medium,48.1,96.0,Lithium-ion,120,1.995841995841996,80.0,CCS,310.0,1250.0,265.0,4055,1765,1430,Hatchback,France
Peugeot,e-208 50 kWh,B - Compact,FWD,5,150,9.0,260.0,191.76612,0.3,Medium,46.3,216.0,Lithium-ion,132,4.665226781857451,78.0,CCS,290.0,1250.0,265.0,4055,1765,1430,Hatchback,France
Peugeot,e-2008 54 kWh,JB - Compact,FWD,5,150,9.1,260.0,191.76612,0.3269230769230769,Medium,50.8,102.0,Lithium-ion,125,2.0078740157480315,85.0,CCS,300.0,1250.0,434.0,4304,1775,1523,SUV,France
Peugeot,e-2008 50 kWh,JB - Compact,FWD,5,150,9.9,260.0,191.76612,0.3,Medium,46.3,216.0,Lithium-ion,136,4.665226781857451,78.0,CCS,270.0,1250.0,434.0,4304,1775,1523,SUV,France
Opel,Mokka Electric,JB - Compact,FWD,5,150,9.0,260.0,191.76612,0.3269230769230769,Medium,50.8,102.0,Lithium-ion,126,2.0078740157480315,85.0,CCS,285.0,1200.0,310.0,4151,1790,1534,SUV,Germany
Opel,Corsa Electric 51 kWh,B - Compact,FWD,5,150,8.1,260.0,191.76612,0.3076923076923077,Medium,48.1,96.0,Lithium-ion,120,1.995841995841996,80.0,CCS,315.0,750.0,267.0,4061,1765,1435,Hatchback,Germany
Opel,Corsa Electric 50 kWh,B - Compact,FWD,5,150,8.7,260.0,191.76612,0.3,Medium,46.3,216.0,Lithium-ion,131,4.665226781857451,78.0,CCS,290.0,750.0,267.0,4061,1765,1435,Hatchback,Germany
Lancia,Ypsilon,B - Compact,FWD,5,150,8.2,260.0,191.76612,0.3076923076923077,Medium,48.1,96.0,Lithium-ion,122,1.995841995841996,80.0,CCS,310.0,1500.0,309.0,4080,1760,1440,Hatchback,Italy
Jeep,Avenger Electric,JB - Compact,FWD,5,150,9.0,260.0,191.76612,0.3269230769230769,Medium,50.8,102.0,Lithium-ion,132,2.0078740157480315,85.0,CCS,310.0,1000.0,355.0,4084,1776,1528,SUV,USA
Hyundai,INSTER Long Range,JA - Mini,FWD,4,150,10.6,147.0,108.421614,0.4761904761904761,Medium,46.0,384.0,Lithium-ion,124,8.347826086956522,70.0,CCS,300.0,750.0,280.0,3825,1610,1575,SUV,Korea
Ford,e-Tourneo Custom L2 210 kW,N - Passenger Van,RWD,8,150,8.0,415.0,306.08823,0.1686746987951807,Low,64.0,332.0,Lithium-ion,370,5.1875,70.0,CCS,235.0,2000.0,672.0,5908,1999,1959,Small Passenger Van,USA
Ford,e-Tourneo Custom L2 160 kW,N - Passenger Van,RWD,8,150,9.0,415.0,306.08823,0.1686746987951807,Low,64.0,332.0,Lithium-ion,370,5.1875,70.0,CCS,235.0,2000.0,672.0,5908,1999,1959,Small Passenger Van,USA
Fiat,500e Hatchback 42 kWh,B - Compact,FWD,4,150,9.0,220.0,162.26364,0.3045454545454545,Medium,37.3,192.0,Lithium-ion,118,5.14745308310992,67.0,CCS,235.0,550.0,185.0,3631,1683,1529,Hatchback,Italy
Citroen,e-C4,C - Medium,FWD,5,150,9.9,260.0,191.76612,0.3,Medium,46.3,216.0,Lithium-ion,135,4.665226781857451,78.0,CCS,285.0,350.0,380.0,4360,1834,1525,Hatchback,France
Abarth,500e Convertible,B - Compact,FWD,4,155,7.0,235.0,173.32707000000002,0.2851063829787234,Medium,37.8,192.0,Lithium-ion,156,5.07936507936508,67.0,CCS,225.0,1500.0,185.0,3673,1683,1518,Hatchback,Italy
Abarth,500e Hatchback,B - Compact,FWD,4,155,7.0,235.0,173.32707000000002,0.2851063829787234,Medium,37.8,192.0,Lithium-ion,149,5.07936507936508,67.0,CCS,225.0,1500.0,185.0,3673,1683,1518,Hatchback,Italy
Skoda,Enyaq 60,JC - Medium,RWD,5,160,8.1,310.0,228.64422,0.3548387096774194,Medium,59.0,216.0,Lithium-ion,145,3.6610169491525424,110.0,CCS,360.0,1000.0,585.0,4658,1879,1622,SUV,Czech Republic
Lexus,RZ 300e,JC - Medium,FWD,5,160,8.0,266.0,196.191492,0.3759398496240601,Medium,64.0,96.0,Lithium-ion,149,1.5,100.0,CCS,365.0,750.0,522.0,4690,1860,1600,SUV,Japan
Mini,Cooper E,B - Compact,FWD,4,160,7.3,290.0,213.89298,0.2068965517241379,Low,36.6,216.0,Lithium-ion,125,5.901639344262295,60.0,CCS,250.0,750.0,200.0,3858,1756,1460,Hatchback,UK
Nissan,Ariya 63kWh,JC - Medium,FWD,5,160,7.5,300.0,221.2686,0.3,Medium,63.0,216.0,Lithium-ion,175,3.4285714285714284,90.0,CCS,335.0,750.0,468.0,4595,1850,1660,SUV,Japan
Nissan,Ariya 87kWh,JC - Medium,FWD,5,160,7.6,300.0,221.2686,0.3666666666666666,Medium,87.0,216.0,Lithium-ion,169,2.4827586206896552,110.0,CCS,450.0,750.0,468.0,4595,1850,1660,SUV,Japan
Volkswagen,ID.3 Pro,C - Medium,RWD,5,160,7.6,310.0,228.64422,0.3548387096774194,Medium,59.0,216.0,Lithium-ion,136,3.6610169491525424,110.0,CCS,365.0,1000.0,385.0,4264,1809,1564,Hatchback,Germany
Hyundai,Kona Electric 48 kWh,JB - Compact,FWD,5,160,8.8,255.0,188.07831,0.196078431372549,Low,48.4,384.0,Lithium-ion,128,7.933884297520661,50.0,CCS,295.0,300.0,466.0,4355,1825,1575,SUV,Korea
Volkswagen,ID. Buzz NWB Pro,N - Passenger Van,RWD,6,160,7.6,560.0,413.0347200000001,0.2410714285714285,Low,79.0,288.0,Lithium-ion,187,3.645569620253165,135.0,CCS,360.0,1200.0,1121.0,4712,1985,1927,Small Passenger Van,Germany
Lexus,RZ 450e,JD - Large,AWD,5,160,5.6,435.0,320.83947,0.2298850574712643,Low,64.0,96.0,Lithium-ion,158,1.5,100.0,CCS,350.0,750.0,522.0,4805,1895,1635,SUV,Japan
Volkswagen,ID. Buzz LWB Pro,N - Passenger Van,RWD,7,160,7.9,560.0,413.0347200000001,0.2589285714285714,Medium,86.0,312.0,Lithium-ion,190,3.627906976744186,145.0,CCS,370.0,1000.0,1340.0,4962,1985,1924,Small Passenger Van,Germany
Toyota,bZ4X FWD,JC - Medium,FWD,5,160,7.5,265.0,195.45393,0.3773584905660377,Medium,64.0,96.0,Lithium-ion,145,1.5,100.0,CCS,350.0,750.0,452.0,4690,1860,1600,SUV,Japan
Toyota,bZ4X AWD,JC - Medium,AWD,5,160,6.9,336.0,247.820832,0.2976190476190476,Medium,64.0,96.0,Lithium-ion,154,1.5,100.0,CCS,345.0,750.0,452.0,4690,1860,1600,SUV,Japan
Peugeot,e-408 58 kWh,JD - Large,FWD,5,160,7.2,345.0,254.45889000000005,0.2028985507246377,Low,58.3,102.0,Lithium-ion,129,1.7495711835334478,70.0,CCS,375.0,1200.0,471.0,4687,1859,1478,SUV,France
Honda,e:Ny1,JB - Compact,FWD,5,160,7.6,310.0,228.64422,0.1935483870967742,Low,61.9,216.0,Lithium-ion,150,3.4894991922455576,60.0,CCS,335.0,1500.0,361.0,4387,1790,1584,SUV,Japan
Aiways,U6,JC - Medium,FWD,5,160,7.0,315.0,232.33203,0.2476190476190476,Low,60.0,216.0,Lithium-ion,150,3.6,78.0,CCS,350.0,1500.0,472.0,4805,1880,1641,SUV,China
Audi,Q4 e-tron 40,JC - Medium,RWD,5,160,8.1,310.0,228.64422,0.3548387096774194,Medium,59.0,216.0,Lithium-ion,159,3.6610169491525424,110.0,CCS,325.0,1000.0,520.0,4588,1865,1632,SUV,Germany
Alpine,A290 Electric 180 hp,B - Compact,FWD,5,160,7.4,285.0,210.20517,0.2456140350877192,Low,52.0,184.0,Lithium-ion,138,3.5384615384615383,70.0,CCS,310.0,500.0,326.0,3997,1823,1512,Hatchback,France
GWM,ORA 03 GT,C - Medium,FWD,5,160,8.2,250.0,184.3905,0.224,Low,59.3,216.0,Lithium-ion,148,3.642495784148398,56.0,CCS,325.0,1500.0,228.0,4254,1848,1603,Hatchback,China
Volkswagen,ID. Buzz LWB GTX,N - Passenger Van,AWD,7,160,6.5,560.0,413.0347200000001,0.2589285714285714,Medium,86.0,312.0,Lithium-ion,182,3.627906976744186,145.0,CCS,350.0,1600.0,1340.0,4960,1985,1927,Small Passenger Van,Germany
GWM,ORA 03 63 kWh,C - Medium,FWD,5,160,8.2,250.0,184.3905,0.224,Low,59.3,216.0,Lithium-ion,141,3.642495784148398,56.0,CCS,340.0,1500.0,228.0,4235,1825,1603,Hatchback,China
Lexus,UX 300e,JC - Medium,FWD,5,160,7.5,300.0,221.2686,0.1166666666666666,Low,64.0,96.0,Lithium-ion,145,1.5,35.0,CCS,340.0,750.0,316.0,4495,1840,1545,SUV,Japan
Mercedes-Benz,eVito Tourer Long 90 kWh,N - Passenger Van,FWD,8,160,12.1,360.0,265.52232000000004,0.2666666666666666,Medium,90.0,288.0,Lithium-ion,260,3.2,96.0,CCS,325.0,1500.0,990.0,5140,1928,1890,Small Passenger Van,Germany
Mercedes-Benz,EQB 350 4MATIC,JC - Medium,AWD,7,160,6.2,520.0,383.53224,0.1923076923076923,Low,66.5,300.0,Lithium-ion,168,4.511278195488722,100.0,CCS,345.0,1700.0,495.0,4684,1834,1667,SUV,Germany
